occurred_year,geo_division,category,count
2014,D11,Shooting Occurrence,2
2014,D12,Shooting Occurrence,20
2014,D13,Shooting Occurrence,2
2014,D14,Shooting Occurrence,7
2014,D22,Shooting Occurrence,8
2014,D23,Shooting Occurrence,18
2014,D31,Shooting Occurrence,31
2014,D32,Shooting Occurrence,13
2014,D33,Shooting Occurrence,5
2014,D41,Shooting Occurrence,15
2014,D42,Shooting Occurrence,10
2014,D43,Shooting Occurrence,7
2014,D51,Shooting Occurrence,16
2014,D52,Shooting Occurrence,2
2014,D53,Shooting Occurrence,2
2014,D54/D55,Shooting Occurrence,19
2015,D11,Shooting Occurrence,7
2015,D12,Shooting Occurrence,36
2015,D13,Shooting Occurrence,4
2015,D14,Shooting Occurrence,15
2015,D22,Shooting Occurrence,17
2015,D23,Shooting Occurrence,36
2015,D31,Shooting Occurrence,50
2015,D32,Shooting Occurrence,11
2015,D33,Shooting Occurrence,11
2015,D41,Shooting Occurrence,24
2015,D42,Shooting Occurrence,21
2015,D43,Shooting Occurrence,16
2015,D51,Shooting Occurrence,14
2015,D52,Shooting Occurrence,9
2015,D53,Shooting Occurrence,3
2015,D54/D55,Shooting Occurrence,14
2016,D11,Shooting Occurrence,16
2016,D12,Shooting Occurrence,36
2016,D13,Shooting Occurrence,17
2016,D14,Shooting Occurrence,23
2016,D22,Shooting Occurrence,15
2016,D23,Shooting Occurrence,54
2016,D31,Shooting Occurrence,65
2016,D32,Shooting Occurrence,27
2016,D33,Shooting Occurrence,11
2016,D41,Shooting Occurrence,21
2016,D42,Shooting Occurrence,29
2016,D43,Shooting Occurrence,22
2016,D51,Shooting Occurrence,20
2016,D52,Shooting Occurrence,5
2016,D53,Shooting Occurrence,9
2016,D54/D55,Shooting Occurrence,37
2017,D11,Shooting Occurrence,18
2017,D12,Shooting Occurrence,25
2017,D13,Shooting Occurrence,14
2017,D14,Shooting Occurrence,23
2017,D22,Shooting Occurrence,15
2017,D23,Shooting Occurrence,44
2017,D31,Shooting Occurrence,68
2017,D32,Shooting Occurrence,11
2017,D33,Shooting Occurrence,11
2017,D41,Shooting Occurrence,27
2017,D42,Shooting Occurrence,35
2017,D43,Shooting Occurrence,30
2017,D51,Shooting Occurrence,24
2017,D52,Shooting Occurrence,10
2017,D53,Shooting Occurrence,6
2017,D54/D55,Shooting Occurrence,31
2018,D11,Shooting Occurrence,12
2018,D12,Shooting Occurrence,36
2018,D13,Shooting Occurrence,16
2018,D14,Shooting Occurrence,27
2018,D22,Shooting Occurrence,14
2018,D23,Shooting Occurrence,49
2018,D31,Shooting Occurrence,67
2018,D32,Shooting Occurrence,23
2018,D33,Shooting Occurrence,12
2018,D41,Shooting Occurrence,30
2018,D42,Shooting Occurrence,32
2018,D43,Shooting Occurrence,30
2018,D51,Shooting Occurrence,30
2018,D52,Shooting Occurrence,14
2018,D53,Shooting Occurrence,9
2018,D54/D55,Shooting Occurrence,26
2019,D11,Shooting Occurrence,15
2019,D12,Shooting Occurrence,47
2019,D13,Shooting Occurrence,27
2019,D14,Shooting Occurrence,16
2019,D22,Shooting Occurrence,23
2019,D23,Shooting Occurrence,61
2019,D31,Shooting Occurrence,64
2019,D32,Shooting Occurrence,37
2019,D33,Shooting Occurrence,22
2019,D41,Shooting Occurrence,23
2019,D42,Shooting Occurrence,35
2019,D43,Shooting Occurrence,40
2019,D51,Shooting Occurrence,19
2019,D52,Shooting Occurrence,9
2019,D53,Shooting Occurrence,13
2019,D54/D55,Shooting Occurrence,41
